timestamp,system,node,release,version,machine,arch,processor,cpu_model,python_version,benchmark,run_id,n,vector_len,iters_inner,elapsed_s,gflops,energy_j,power_w,avg_power_w
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,0,4096,4096,250000,0.11546704800002772,17.73666197822524,3.3746250000003783,29.2258705704468,29.2258705704468
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,1,4096,4096,250000,0.11271736799994869,18.1693383756169,3.54015199999958,31.407333783744768,31.407333783744768
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,2,4096,4096,250000,0.11281213799998113,18.1540748744638,3.402518000000782,30.160921159045415,30.160921159045415
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,3,4096,4096,250000,0.11256572500008133,18.193815213276693,3.4307169999992766,30.477456614762602,30.477456614762602
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,4,4096,4096,250000,0.11238511699991705,18.223053502729474,3.42906800000128,30.511762513926207,30.511762513926207
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,0,4096,4096,500000,0.22368650999999318,18.311341171178025,6.687055999998847,29.89476656414842,29.89476656414842
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,1,4096,4096,500000,0.22418559499999446,18.270576216103898,6.7802560000000085,30.24394140934959,30.24394140934959
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,2,4096,4096,500000,0.22434851299999536,18.257308440462385,6.824689000000944,30.420032246886723,30.420032246886723
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,3,4096,4096,500000,0.2249892689999342,18.20531271649759,6.946271999999226,30.873792474081316,30.873792474081316
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,4,4096,4096,500000,0.22424013600004855,18.266132339480535,6.806074000000081,30.35172079987771,30.35172079987771
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,0,4096,4096,1000000,0.4480739230000381,18.28269751819345,13.64278700000068,30.447625491473914,30.447625491473914
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,1,4096,4096,1000000,0.4482542870000543,18.275341112351718,13.613491000000067,30.370018524771893,30.370018524771893
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,2,4096,4096,1000000,0.44794119699997736,18.28811472323769,13.512233999999808,30.165195991116867,30.165195991116867
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,3,4096,4096,1000000,0.44846241599998393,18.26685962464309,13.469386999999188,30.03459491686739,30.03459491686739
2026-01-23T14:21:13,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_single,4,4096,4096,1000000,0.4472302200000513,18.317187957466427,13.40639899999951,29.976505165500605,29.976505165500605
