timestamp,system,node,release,version,machine,processor,cpu_model,python_version,benchmark,run_id,working_set_bytes,iters_inner,elapsed_s,latency_ns,energy_j,avg_power_w
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,0,4096,50000000,0.05352873099991484,1.0705746199982968,1.1124239999990095,20.78181154716295
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,1,4096,50000000,0.05348781099974076,1.0697562199948152,1.1108370000001742,20.76804003075688
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,2,4096,50000000,0.05347494999978153,1.0694989999956306,1.1157810000004247,20.865489355389453
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,3,4096,50000000,0.05346319199998106,1.0692638399996213,1.1114469999993162,20.78901312139593
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,4,4096,50000000,0.05348805199992057,1.0697610399984114,1.0896580000007816,20.37198886963391
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,0,16384,50000000,0.053589499999816326,1.0717899999963265,1.0971649999992223,20.473506937048914
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,1,16384,50000000,0.05344825200018022,1.0689650400036044,1.1124850000014703,20.814244776381447
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,2,16384,50000000,0.05344349899996814,1.0688699799993628,1.1159019999977318,20.880032574184504
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,3,16384,50000000,0.05344964000005348,1.0689928000010696,1.1149270000023535,20.85939213063433
2026-01-22T15:41:09,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,pointer_chase,4,16384,50000000,0.053562628000236145,1.071252560004723,1.0871550000010757,20.296894319604384
