timestamp,system,node,release,version,machine,processor,cpu_model,python_version,benchmark,run_id,n_per_thread,iters_inner,num_threads,elapsed_s,gflops,energy_j,avg_power_w
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,0,256,500000,1,0.012052754000251298,21.23995893342405,0.3604110000014771,29.902792340569015
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,1,256,500000,1,0.013030141000399453,19.646755932430207,0.31164499999795225,23.917239267663984
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,2,256,500000,1,0.010850719999780267,23.592904434469247,0.3112779999974009,28.687312915982023
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,0,256,1000000,1,0.024056595000274683,21.283145016747127,0.7482280000003811,31.10282232343512
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,1,256,1000000,1,0.021743113999946218,23.547685028062972,0.6517920000005688,29.976938905907453
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,2,256,1000000,1,0.021058320000065578,24.313430511000192,0.6934189999992668,32.928505217752765
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,0,256,2000000,1,0.04151729899967904,24.664417596335355,1.310116000000562,31.555906370756205
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,1,256,2000000,1,0.041697600000134116,24.557768312725585,1.3001679999979388,31.180883312079278
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,2,256,2000000,1,0.04164949000005436,24.58613538842045,1.2893030000013823,30.956033315166636
2026-01-22T15:41:56,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute_peak,0,256,500000,2,0.011072663000049943,46.240005678642135,0.5073840000004566,45.82312312748686
