timestamp,system,node,release,version,machine,processor,cpu_model,python_version,benchmark,run_id,vector_len,iters_inner,elapsed_s,gflops,energy_j,avg_power_w
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,0,4096,250000,0.11737801099980061,17.447901719884136,3.6117469999990135,30.770218111850173
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,1,4096,250000,0.11490115700007664,17.82401547095504,3.716604000001098,32.346097263395
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,2,4096,250000,0.11668150800005606,17.55205289255446,3.7128200000006473,31.820123545188185
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,3,4096,250000,0.1181784210002661,17.329728918914803,3.715689000000566,31.441349178224336
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,4,4096,250000,0.11877654099998836,17.24246204475849,3.731253000001743,31.41405675386783
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,0,4096,500000,0.23818220700013626,17.196918491890777,7.527751999998145,31.605014055453093
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,1,4096,500000,0.23789701399982732,17.217534306685216,7.56522699999914,31.80042856697912
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,2,4096,500000,0.2393880919998992,17.11029135067305,7.5084029999998165,31.3649811787755
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,3,4096,500000,0.23935740199976863,17.112485203210717,7.483196000001044,31.26369160711511
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,4,4096,500000,0.23870024000007106,17.159597325912955,7.463604000000487,31.267685361348043
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,0,4096,1000000,0.4787085789998855,17.11270772943879,14.781457000000955,30.877777521518976
2026-01-22T15:41:52,Linux,mateusz-nytko-Vector-GP66-12UGS,6.11.0-25-generic,#25~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue Apr 15 17:20:50 UTC 2,x86_64,x86_64,12th Gen Intel(R) Core(TM) i7-12700H,3.12.3,fma_compute,1,4096,1000000,0.47998996200021793,17.067023580789552,14.871971000000485,30.98392086789876
