timestamp,system,node,release,version,machine,processor,cpu_model,python_version,benchmark,run_id,bytes_per_iter,iters,elapsed_s,gbps,energy_j,avg_power_w
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,0,4194304,20,0.0024812499977997504,33.80799196952585,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,1,4194304,20,0.0017150000057881698,48.913166015674804,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,2,4194304,20,0.0016159999941010028,51.90970315978663,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,3,4194304,20,0.0017850000003818423,46.99500279106741,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,4,4194304,20,0.0017418329953216016,48.15965722621518,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,5,4194304,20,0.001486792003561277,56.42085765801114,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,6,4194304,20,0.0016128749994095415,52.01027979893663,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,0,16777216,20,0.009086625002964865,36.92727716732182,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,1,16777216,20,0.00857637500303099,39.124259361491866,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,2,16777216,20,0.007873750000726432,42.61556691145168,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,3,16777216,20,0.007748708005237859,43.30326033361738,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,4,16777216,20,0.008042207999096718,41.72290993191019,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,5,16777216,20,0.008212916000047699,40.85568633577297,0.0,0.0
2026-01-22T14:38:25,Darwin,MacBook-Pro-Mateusz.local,25.2.0,Darwin Kernel Version 25.2.0: Tue Nov 18 21:07:05 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6020,arm64,arm,Apple M2 Pro,3.13.7,mem_copy,6,16777216,20,0.007963208001456223,42.13682726090281,0.09124,11.45769393230907
